pais,poblac,densidad,urbana,relig,espvidaf,espvidam,alfabet,inc_pob,mortinf,pib_cap,region,calorÌas,tasa_nat,tasa_mor,log_pib,nac_def,fertilid,log_pob,cregrano
Estados Unidos,260800,26,75,Protes,79,73,97,0.99,8.11,23474,1,3671,15,9,4.3705871,1.666666667,2.06,5.416307587,20
Estonia,1600,36,72,Protes,76,67,99,0.52,19,6000,2,-10,14,12,3.77815125,1.166666667,2,3.204119983,22
Etiopia,55200,47,12,Musulm,54,51,24,3.1,110,122,4,1667,45,14,2.086359831,3.214285714,6.81,4.741939078,12
Filipinas,69800,221,43,Catol,68,63,90,1.92,51,867,3,2375,27,7,2.938019097,3.857142857,3.35,4.843855423,26
Finlandia,5100,39,60,Protes,80,72,100,0.3,5.3,15877,1,3253,13,10,4.200768445,1.3,1.8,3.707570176,8
Francia,58000,105,73,Catol,82,74,99,0.47,6.7,18944,1,3465,13,9.3,4.277471685,1.397849462,1.8,4.763427994,32
Gabon,1300,4.2,46,Catol,58,52,61,1.46,94,4283,4,2383,28,14,3.631748074,2,3.97,3.113943352,1
Gambia,959,86,23,Musulm,52,48,27,3.1,124,351,4,-10,46,16,2.545307116,2.875,6.29,2.981818607,16
Georgia,5500,81,56,Ortodo,76,69,99,0.8,23,4500,2,-10,16,9,3.653212514,1.777777778,2.18,3.740362689, 
Gran BretaÒa,58400,237,89,Protes,80,74,99,0.2,7.2,15974,1,3149,13,11,4.20341368,1.181818182,1.83,4.766412847,29
Grecia,10400,80,63,Ortodo,80,75,93,0.84,8.2,8060,1,3825,10,10,3.906335042,1,1.5,4.017033339,23
Guatemala,10300,97,39,Catol,67,62,55,2.58,57,1342,6,2235,35,8,3.127752516,4.375,4.76,4.012837225,12
Haiti,6500,231,29,Catol,47,43,53,1.63,109,383,6,2013,40,19,2.583198774,2.105263158,5.94,3.812913357,20
Honduras,5600,46,44,Catol,70,65,73,2.73,45,1030,6,2247,35,6,3.012837225,5.833333333,4.9,3.748188027,14
Hong Kong,5800,5494,94,Budist,80,75,77,-0.09,5.8,14641,3,-10,13,6,4.165570741,2.166666667,1.4,3.763427994,7
Hungria,10500,111,64,Catol,76,67,99,-0.3,12.5,5249,2,3644,12,13,3.720076573,0.923076923,1.8,4.021189299,51
India,911600,283,26,Indu,59,58,52,1.9,79,275,3,2229,29,10,2.439332694,2.9,4.48,5.959804317,55
Indonesia,199700,102,29,Musulm,65,61,77,1.6,68,681,3,2750,24,9,2.833147112,2.666666667,2.8,5.300378065,8
Iran,65600,39,57,Musulm,67,65,54,3.46,60,1500,5,3181,42,8,3.176091259,5.25,6.33,4.816903839,8
Iraq,19900,44,72,Musulm,68,65,60,3.7,67,1955,5,2887,44,7,3.291146762,6.285714286,6.71,4.298853076,12
Irlanda,3600,51,57,Catol,78,73,98,0.3,7.4,12170,1,3778,14,9,4.085290578,1.555555556,1.99,3.556302501,14
Islandia,263,2.5,91,Protes,81,76,100,1.1,4,17241,1,-10,16,7,4.236562452,2.285714286,2.11,2.419955748,1
Israel,5400,238,92,Judia,80,76,92,2.22,8.6,13066,5,-10,21,7,4.116142654,3,2.83,3.73239376,17
Italia,58100,188,69,Catol,81,74,97,0.21,7.6,17500,1,3504,11,10,4.243038049,1.1,1.3,4.764176132,32
JapÛn,125500,330,77,Budist,82,76,99,0.3,4.4,19860,3,2956,11,7,4.297979244,1.571428571,1.55,5.098643726,13
Jordania,3961,42,68,Musulm,74,70,80,3.3,34,1157,5,2634,39,5,3.063333359,7.8,5.64,3.597804842,4
Kenia,28200,49,24,Catol,55,51,69,3.07,74,323,4,2163,42,11,2.509202522,3.818181818,5.91,4.450249108,3
Kuwait,1800,97,96,Musulm,78,73,73,5.24,12.5,6818,5,3195,28,2,3.833656997,14,4,3.255272505,0
Letonia,2700,40,71,Protes,75,64,99,0.5,21.5,7400,2,-10,14,12,3.86923172,1.166666667,2,3.431363764,27
LÌbano,3620,343,84,Musulm,71,67,80,2,39.5,1429,5,-10,27,7,3.155032229,3.857142857,3.39,3.558708571,21
Liberia,2900,29,45,Animis,57,54,40,3.3,113,409,4,2382,43,12,2.611723308,3.583333333,6.8,3.462397998,1
Libia,5500,2.8,82,Musulm,65,62,64,3.7,63,5910,5,3324,45,8,3.771587481,5.625,6.4,3.740362689,2
Lituania,3800,58,69,Catol,77,68,99,0.3,17,6710,2,-10,15,10,3.82672252,1.5,2,3.579783597,49
Malasia,19500,58,43,Musulm,72,66,78,2.3,25.6,2995,3,2774,29,5,3.476396827,5.8,3.51,4.290034611,3
Marruecos,28600,63,46,Musulm,70,66,50,2.12,50,1062,4,-10,29,6,3.026124517,4.833333333,3.83,4.456366033,18
MÈxico,91800,46,73,Catol,77,69,87,1.9,35,3604,6,3052,28,5,3.556784782,5.6,3.2,4.962842681,12
Nicaragua,4100,33,60,Catol,67,61,57,2.68,52.5,447,6,2265,35,7,2.650307523,5,4.33,3.612783857,9
Nigeria,98100,102,35,Musulm,57,54,51,3.1,75,282,4,2312,44,12,2.450249108,3.666666667,6.4,4.991669007,31
Noruega,4300,11,75,Protes,81,74,99,0.4,6.3,17755,1,3326,13,10,4.249320677,1.3,2,3.633468456,3
Nueva Zelanda,3524,13,84,Protes,80,73,99,0.57,8.9,14381,1,3362,16,8,4.157789086,2,2.03,3.5470359,2
Oman,1900,7.8,11,Musulm,70,66, ,3.46,36.7,7467,5,-10,40,5,3.873146151,8,6.53,3.278753601,2
Paises Bajos,15400,366,89,Catol,81,75,99,0.58,6.3,17245,1,3151,13,9,4.236663199,1.444444444,1.58,4.187520721,26
Pakistan,128100,143,32,Musulm,58,57,35,2.8,101,406,3,-10,42,10,2.608526034,4.2,6.43,5.10754913,26
Panama,2600,34,53,Catol,78,71,88,1.94,16.5,2397,6,2539,25,5,3.379668034,5,2.9,3.414973348,6
Paraguay,5200,11,48,Catol,75,72,90,2.7,25.2,1500,6,2757,33,4.5,3.176091259,7.333333333,4.3,3.716003344,20
Peru,23650,18,70,Catol,67,63,85,2,54,1107,6,2186,26,7,3.044147621,3.714285714,3.11,4.373831145,3
Polonia,38600,123,62,Catol,77,69,99,0.3,13.8,4429,2,-10,14,10,3.64630568,1.4,1.94,4.586587305,46
Portugal,10500,108,34,Catol,78,71,85,0.36,9.2,9000,1,-10,12,10,3.954242509,1.2,1.5,4.021189299,32
Rep. C. Africana,3300,5,47,Protes,44,41,27,2.4,137,457,4,2036,44,21,2.6599162,2.1,5.42,3.51851394,3
Rep. Checa,10400,132, ,Catol,77,69, ,0.21,9.3,7311,2,3632,13,11.1,3.863976784,1.171171171,1.84,4.017033339,-10
Rep. Dominicana,7800,159,60,Catol,70,66,83,1.8,51.5,1034,6,2359,25,6,3.014520539,4.166666667,2.8,3.892094603,23
Ruanda,8400,311,6,Catol,46,43,50,2.8,117,292,4,1971,49,21,2.465382851,2.333333333,8.19,3.924279286,29
RumanÌa,23400,96,54,Ortodo,75,69,96,0.06,20.3,2702,2,3155,14,10,3.431685345,1.4,1.82,4.369215857,43
Rusia,149200,8.8,74,Ortodo,74,64,99,0.2,27,6680,2,-10,13,11,3.824776462,1.181818182,1.83,5.173768823,8
Senegal,8700,43,40,Musulm,58,55,38,3.1,76,744,4,2369,43,12,2.871572936,3.583333333,6.1,3.939519253,27
Singapur,2900,4456,100,Taoist,79,73,88,1.2,5.7,14990,3,3198,16,6,4.175801633,2.666666667,1.88,3.462397998,4
Siria,14900,74,50,Musulm,68,65,64,3.7,43,2436,5,-10,44,6,3.386677284,7.333333333,6.65,4.173186268,28
Somalia,6667,10,24,Musulm,55,54,24,3.2,126,2126,4,1906,46,13,3.32756326,3.538461538,7.25,3.823930455,2
Sudafrica,43900,35,49,Protes,68,62,76,2.6,47.1,3128,4,-10,34,8,3.495266744,4.25,4.37,4.64246452,10
Suecia,8800,19,84,Protes,81,75,99,0.52,5.7,16900,1,2960,14,11,4.227886705,1.272727273,2.1,3.944482672,7
Suiza,7000,170,62,Catol,82,75,99,0.7,6.2,22384,1,3562,12,9,4.349937697,1.333333333,1.6,3.84509804,10
Tailandia,59400,115,22,Budist,72,65,93,1.4,37,1800,3,2316,19,6,3.255272505,3.166666667,2.1,4.773786445,34
Taiwan,20944,582,71,Budist,78,72,91,0.92,5.1,7055,3,-10,15.6,-10,3.848497018, ,-10,4.321059629,-10
Tanzania,29800,29,21,Animis,45,41,46,2.5,110,263,4,2206,46,19,2.419955748,2.421052632,6.2,4.474216264,5
TurquÌa,62200,79,61,Musulm,73,69,81,2.02,49,3721,5,3236,26,6,3.57065967,4.333333333,3.21,4.793790385,30
Ucrania,51800,87,67,Ortodo,75,65,97,0.05,20.7,2340,2,-10,12,13,3.369215857,0.923076923,1.82,4.71432976,56
Uganda,19800,76,11,Catol,43,41,48,2.42,112,325,4,2153,49,24,2.511883361,2.041666667,6.77,4.29666519,23
Uruguay,3200,18,89,Catol,77,71,96,0.8,17,3131,6,2653,17,10,3.495683068,1.7,2.44,3.505149978,8
Uzbekistan,22600,50,41,Musulm,72,65,97,2.13,53,1350,5,-10,30,7,3.130333768,4.285714286,3.73,4.354108439,10
Venezuela,20600,22,91,Catol,76,70,88,2.16,28,2829,6,2582,26,5,3.451632947,5.2,3.05,4.31386722,3
Vietnam,73100,218,20,Budist,68,63,88,1.78,46,230,3,2233,27,8,2.361727836,3.375,3.33,4.863917377,22
Zambia,9100,11,42,Protes,45,44,73,2.8,85,573,4,2077,46,18,2.758154622,2.555555556,6.68,3.959041392,7
